Question,Answer
1,D 
2,B 
3,E 
4,C 
5,B 
6,B 
7,C 
8,B 
9,A 
10,B 
11,C 
12,C 
13,E 
14,B 
15,D 
16,B 
17,A 
18,C 
19,D 
20,E 
21,A 
22,E 
23,B 
24,D 
25,C 
26,B 
27,D 
28,E 
29,A 
30,B 
31,C 
32,B 
33,E 
34,C 
35,A 
36,D 
37,B 
38,B 
39,B 
40,A 
41,C 
42,E 
43,D 
44,A 
45,D 
46,B 
47,C 
48,E 
49,D 
50,C 
51,E 
52,A 
53,C 
54,B 
55,B 
56,E 
57,B 
58,C 
59,D 
60,C 
61,A 
62,C 
63,B 
64,E 
65,E 
66,A 
67,D 
68,B 
69,D 
70,E 
71,C 
72,A 
73,B 
74,A 
75,D 
76,B 
77,A 
78,C 
79,C 
80,E 
81,E 
82,A 
83,C 
84,C 
85,D 
86,D 
87,B 
88,B 
89,B 
90,D 
91,C 
92,E 
93,A 
94,A 
95,B 
96,B 
97,E 
98,D 
99,D 
100,C 
101,C 
102,C 
103,E 
104,C 
105,E 
106,B 
107,A 
108,C 
109,D 
110,E 
111,B 
112,C 
113,B 
114,B 
115,C 
116,D 
117,E 
118,D 
119,B 
120,D 
121,A 
122,D 
123,A 
124,D 
125,B 
